阅读词汇   1976-2003.01				
考频	考查的单词	正确的选项	词性	中文含义
	cumbersome	burdensome	a.	麻烦的；笨重的
	cumbersome	bulky	a.	麻烦的；笨重的
	cunning	cleverness	n.	狡猾；狡诈
	curative	healing	a.	治病的；疗效的
	curb	inhibit	v.	控制；约束
2	curiously	oddly	ad.	稀奇地；奇妙地
2	curiously	oddly	ad.	
2	currency	money	n.	通货；货币
2	currency	paper money	n.	
	custom	practice	n.	风俗；习惯
	customer	patron	n.	主顾；顾客
2	cut	reduce	v.	降低；
2	cut down	reduce	v.	削减
	dam 	block	v.	筑坝；修堤
	damage	harm	n.	损害；破坏
	damaging	harmful	a.	有害的；不利的
	dampen	moisten	v.	使潮湿
	dank	unpleasantly humid	a.	潮湿的；阴湿的
	daring	bold	a.	勇敢的；大胆的
	dawn	beginning	n.	初始；开端
	dazzling	brilliant	a.	眩惑的；眼花缭乱的
	deadlock	impasse	n.	僵持；僵局
2	deal with	cope	v.	处理；应付
2	deal with	concern	v.	涉及；关怀
2	debate	discussion	v.	讨论；辩论
2	debate	argument	v.	
2	decay	decompose	v.	腐烂；变质
2	decay	decompose	v.	
2	decelerate	decrease the speed of	v.	减速；降速
2	decelerate	decrease the speed of	v.	
2	deceptive	misleading	a.	欺骗的；虚伪的
2	deceptive	misleading	a.	
	deceptively	misleadingly	ad.	骗人地；虚伪地
	decipher	decode	v.	破译；译解
	decline	refuse	v.	拒绝；谢绝
	declivity	downward slope	n.	斜坡；倾斜
	decree	order	v.	颁布；规定
	deem	regard as	v.	认为；相信
	deep	profound	a.	深刻的；深切的
	defeat	conquer	v.	战胜；击败
2	defer	delay	v.	推迟；延期；
2	defer	yield	v.	顺从；遵从
	definite	fix	a.	明确的；规定的
	definitely	clearly	ad.	确定地；明确地
	deflect	deviate	v.	使偏离；使转向
2	defraud	cheat	v.	欺骗；榨取
2	defraud	cheat	v.	
	deft	skilled	a.	熟练的；灵巧的
	deftly	skillfully	ad.	熟练地；灵巧地
	dehydrate	dry	v.	使脱水；使干燥
	deity	god	n.	神
	delegate	 representative	n.	代表
2	delete	remove from	v.	删除；消去
2	delete	remove from	v.	
	deleteriously	adversely	ad.	不利地；有害地
	deliberate	careful	a.	审慎的；仔细的
4	deliberately	intentionally	ad.	蓄意地；审慎地
4	deliberately	intentionally	ad.	
4	deliberately	purposely	ad.	
4	deliberately	intentionally	ad.	
	delicate	fragile	a.	脆弱的；娇嫩的
	delicately	carefully	ad.	精致地；审慎地
	deluge	flood	n.	洪水；暴雨
	demand	require	v.	要求；需求
	demise	disappearance	n.	灭亡；死亡
	demise	death	n.	死亡
	demolition	destruction	n.	拆除；破坏
	demonstrate	show	v.	表明；证实
	demonstration	proof	n.	论证；证明
	denote	signify	v.	表示；指示
	dense	thick	a.	稠密的；浓厚的
	dense	compact	a.	致密的；紧密的
	densely	thickly	ad.	紧密地；稠密地
	depend on	be determined by	v.	依靠；依赖
	depict	portray	v.	描绘；描述
2	deplete	exhaust	v.	竭尽；用尽
2	deplete	exhaust	v.	
	deplore	lament	v.	哀叹；痛惜
	deposit	lay	v.	放置；产卵
	depress	lower	v.	压低；使沮丧
	deprive	deny	v.	剥夺；使丧失
	derive	obtain	v.	得到
	derive 	obtain	v.	获得；取得
	derived from	based on	v.	基于
	descent	ancestry	n.	血统；世系
	design	pattern	n.	式样；图案
	desolate	barren	a.	荒芜的；荒凉的
	destitute	impoverished	a.	贫困的；赤贫的
	detect	uncover	v.	查明；查出
2	detectable	measurable	a.	可察觉的；易发现的
2	detectable	apparent	a.	可察觉的；易发现的
	detecting	finding	v.	探测
2	deter from	keep from	v.	阻止；阻拦
2	deter from	inhibit	v.	
	deteriorate	become worse	v.	恶化；变质
3	determine	fix	v.	决定；确定
3	determine	evaluate	v.	
3	determine	calculate 	v.	
	detrimental	damaging	a.	不利的；有害的
	devastated	ruined	a.	毁坏的；被破坏的
	developing	evolving	a.	发展的；演化的
5	device	apparatus	n.	装置；设备
5	device	mechanism	n.	
5	device	mechanism	n.	
5	device	instrument	n.	
5	device	instrument	n.	
	devil-may-care	reckless	a.	无忧无虑的；怡然自得的
2	devise	create	v.	设计；发明
2	devise	create	v.	
	devoid	free of	a.	缺乏；没有
	devote	reserve for	v.	致力于；献身于
2	devote to	dedicate	v.	致力于；献身于
2	devote to	specializing in	v.	致力于；献身于
	devoted	dedicated	a.	忠实的；虔诚的
2	devour	consume	v.	吞没；毁灭
2	devour	consume	v.	
	diagnose	analyze	v.	诊断；分析
	dialogue	conversation 	n.	对话；对白
	dictate	determine	v.	指示；决定
	dictate	determine	v.	确定；决定
	didactic	instructive	a.	教训的；说教的
	diet	nutritional plan	n.	饮食；节实
	diffuse	travel	v.	扩散；传播
	dilapidated	run-down	a.	倒塌的；破坏的
	dilate	expand	v.	膨胀；扩大
	dim	weak	a.	隐约的；模糊的
2	diminutive	tiny	a.	小的；小型的
2	diminutive	small	a.	
	dimly	faintly	ad.	朦胧地；暗淡地
2	dip	immerse momentarily	v.	浸；沾
2	dip	immerse in	v.	
	dire	dreadful	a.	可怕的；极度的
	direct	lead	v.	指导；指挥
	directly	immediately	ad.	直接地；即刻地
	disaster	catastrophe	n.	灾难
	discard	get rid of	v.	丢弃；抛弃
	discard	get rid of 	v.	丢弃；抛弃
	discern	detect	v.	辩明；识别
	discerning	perceptive	a.	有眼光的；有辨别力的
	disciple	follower	n.	信徒；弟子
2	discipline	field of study	n.	学科；细目
2	discipline	field  	n.	
	discontent	dissatisfy	v.	不满意；不满
	discord	disharmony	n.	不调合；不一致
	discrepancy	difference	n.	差异；不一致
	disintegrate	break up	v.	分裂；瓦解
2	disorient	confuse	v.	使迷惑；使迷失方向
2	disorient	lost	v.	
	disparaging	negative	a.	贬低的；毁谤的
	dispatch	expedition	n.	派遣；发送
	dispensary	clinic	n.	门诊部；配药处
	display	exhibit	v.	展现；陈列
2	dispose of	get rid of 	v.	处理；除掉
2	dispose of	get rid of 	v.	
	disposition	temperament	n.	气质；性情
	disproportionately	unequally	ad.	不匀称地；不相称地
	dispute	argument	n.	争论；争执
3	dispute	argument	n.	争论；争执
3	dispute	disagreement	n.	
3	dispute	question	v.	质疑
	disquieting	troubling	a.	令人不安的；使人焦虑的
	disregard	ignore	v.	忽视；不注意
	disseminate	spread/impart	v.	散布；传播
3	disseminate	disperse	v.	散布；传播
3	disseminate	spread	v.	
3	disseminate	distribute	v.	
2	dissent from	disagree with	v.	反对；对立；持异议；不同意
2	dissenting	opposite	a.	反对的；对立的；持异议的；不同意的
	dissipate	disperse	v.	驱散；使消失
	distant	faraway	a.	远离的；久远的
2	distinct	separate	a.	清晰的；不同的
2	distinct	separate	a.	清晰的；不同的
	distinct	different	a.	独特的；不同的
	distinct	definite	a.	清楚的；清晰的
	distinct	separate	a.	独特的
	distinctly	clearly	ad.	清楚地；明显地
	distinguish	differentiate	v.	区分；辨别
	distinguished	eminent	a.	著名的；卓越的
	district	section	n.	地区；街区
	disturb	bother	v.	搅动；滋搅
	dive	plunge	v.	跳水；潜水
	divergence	difference	n.	差异；变化
	diverse	dissimilar	a.	多种多样的；不一样的
	diverse	various	a.	多种多样的；
	diverse	varied	a.	不同的
	diverse	different	a.	不同的
	diversified	varied	a.	多样的
	diversity	variety	n.	多样化；各式各样
	dividing line	boundary	n.	边界；分界线
	divine	sacred	a.	神圣的；非凡的
2	do away with	get rid of 	v.	废除；去掉
	do away with	eliminate	v.	 
	do sth. Repeatedly	iterate	v.	重复；反复
	dogged	persistent	a.	顽强的；固执的
2	domain	field	n.	领域；范围
2	domain	region	n.	领域；范围
2	domesticate	tame	v.	驯养；驯服
2	domesticate	tame	v.	
	dominant	major	a.	主要的；占优势的
	dominate	be prevalent in	v.	支配；控制
	donate	contribute	v.	捐赠；赠送
	donation	grant	n.	捐款；捐物
	donor	giver	n.	捐献者；赠与人
2	dormant	hibernate	a.	休眠的；蛰伏的
2	dormant	inactive	a.	
	dot	scatter across	v.	点缀；分散于
	doze	sleep lightly	v.	打瞌睡；打盹儿
2	draft	formulate	v.	草拟；设计
2	draft	draw up	v.	
	drama	play	n.	戏剧；剧本；
	dramatic	striking	a.	戏剧性的；显著的
	dramatically	radically	ad.	戏剧性地；显著地
	drastic	radical	a.	激烈的；猛烈的
	drastically	severely	ad.	激烈的
2	drastically	radically	ad.	激烈地；猛烈地
2	drastically	radically	ad.	
2	draw	attract	v.	吸引
2	draw	attract	v.	吸引
5	draw	attract	v.	吸引；提取
5	draw	attract	v.	
5	draw	attract	v.	
5	draw	attract	v.	
	draw	instruct	v.	引导
5	draw from	take from	v.	
2	drawback	unfavorable feature of	n.	缺点；弊端
2	drawback	disadvantage	n.	
	dread	horror	n.	恐惧；畏惧
	dreadfully	terribly	ad.	极端地
	dream	fantasy	n.	梦想;空想
	dribble	trickle	v.	滴下;涓滴
2	drift	move aimlessly	v.	漂泊;移动
2	drift	move  	v.	
2	drive	campaign	n.	运动;竞赛
2	drive out of 	force out of	v.	驱逐出去；被迫离去
	droop	sag	v.	凋萎，下垂
2	drop	fall	n.	下降；下跌
2	drop in	visit	v.	顺访；拜访
2	drought	dry period	n.	旱灾；旱季
2	drought	prolonged lack of rain	n.	
	drudgery	tedium	n.	苦工；乏味工作
2	duplicate	copy	v.	复制；复写
2	duplicate	identical	a.	相同的；双重的
	duplication	copying	n.	复制；复制品
	durability	endurance	n.	经久，耐久
	durable	long-lasting	a.	持久的；耐用的
	durable	last	a.	持久的；耐用的
2	duration	length	n.	持续时间；期间
2	duration	length	n.	
	during	in 	prep.	在．．．期间；在．．．时候
	dust	fine particles	n.	尘土；灰尘
3	dwell	reside	v.	居住；居留
3	dwell	live	v.	
3	dwell in	reside in	v.	
	dwelling	house	n.	住处；寓所
2	dwelling	living quarters	n.	住处；寓所
2	dwelling	residence	n.	
2	dwindle 	diminish	v.	
2	dwindle away	eventually disappear	v.	缩小；减少
	E			
	each	every one	ＰＲＯn.	各自
	eager	enthusiastic	a.	热心的
	early	initial	a.	早期的；早先的
2	earnest	serious	a.	认真的；诚挚的
2	earnest	serious	a.	
	earnestly	seriously	ad.	诚挚地；殷切地
	earnings	revenue	n.	收入；赚得的钱
	earth	dirt	n.	土；泥
2	easily moved	portable	a.	轻便的；可携带的
2	easily moved	portable	a.	轻便的；可携带的
	easygoing	relaxed	a.	悠闲的；舒适的
	eccentric	strange	a.	怪癖的；古怪的
	eccentricity	peculiarity	n.	怪癖；古怪
	ecologically	environmentally	ad.	生态上；环境上
	economical	thrifty	a.	节约的；经济的
	educator	teacher	n.	教育家；教育工作者
	effect	influence	v.	影响；效果
	effect	influence	n.	影响；效果
2	effectively	efficiently	ad.	有效地；有力地
2	effectively	successfully	ad.	
	efficiency	effectiveness	n.	效力
2	efficient	effective	a.	有效的；有力的
2	efficient	effective	a.	
3	effort	attempt	n.	努力；尝试
3	effort	exertion	n.	
3	effort	endeavor	n.	
	elaborate	complicate	a.	复杂的；精心制作的
	elaborately	done in great detail	ad.	详尽地；精心地
	elastic	pliant	a.	有弹性的；可塑的
	elect	choose	v.	选择；推选
	elevate	promote	v.	提高；提升
	elevate	raise	v.	提高；提升
	elevated	raised	a.	升高的；高架的
	elevation	altitude	n.	高度；海拔
	elicit	bring out	v.	引出
	eligible	entitle	a.	合格的；适宜的
	eloquent	persuasive	a.	善辩的；有口才的
	elsewhere	in another place	ad.	在别处
	emancipator	liberator	n.	解放者
	embarrass	ashamed because of	v.	使困窘；使为难
	emblem	symbol	n.	象征；标志
2	embrace	include	v.	包括；包含；接受；信奉
2	embrace	take up	v.	
	embraced	welcomed	v.	欢迎
	embryo	complete undeveloped form	n.	胚胎；萌芽
	emerge	appear	v.	浮现；出现
2	emerge	come into prominence	v.	浮现；出现
2	emerge	appear as	v.	
	emergence	appearance	n.	出现；浮现
	eminence	fame	n.	著名；显赫
	emissary	messenger	n.	使者；密使
	emit	give off	v.	发出
	emit	give off	v.	放射；散发
	emitting	producing	v.	生产，发行
	emotion	feeling	n.	感情；情感
	emphasize	stress	v.	着重；强调
	emphasize	stress	v.	强调
	employ	use 	v.	雇佣；应用
	emulate	imitate	v.	模仿；仿效
2	enable	allow	v.	使能够；使可能
2	enable	help	v.	使能够；使可能
	enable	allow	v.	使能够；使可能
	enact	pass	v.	颁布；规定
	enactment	performance	n.	演出；表演
	enactment	passing	n.	颁布；规定
	encompass	include	v.	包含
	encourage	urge	v.	鼓励；促进
	end	goal	n.	末端；目的
	end	final	n.	末端；末梢
	endanger	threaten	v.	危害；危及
2	endeavor	try	v.	努力；尽力
2	endeavor	try	v.	
	endemic	native	a.	地方性的；本土的
	endorse	approve of	v.	认可；担保
	endowment	gift	n.	天赋；天资
	endure	survive	v.	忍受；求生存
	energetic	vigorous	a.	有力的；精力旺盛的
	energetically	actively	ad.	有力地；精力饱满地
	engage in 	carry on	v.	从事；忙于
	engaged	hired	v.	雇佣
2	enhance	improve	v.	提高；增进
2	enhance	heighten	v.	
	enjoyment	pleasure	n.	乐趣；享乐
	enlist	join	v.	征募；入伍
	enormous	tremendous	a.	巨大的；非凡的
3	enormously	tremendously	ad.	极大地；巨大地
3	enormously	tremendously	ad.	
3	enormously	immensely	ad.	
	ensures	guarantees	v.	保证
	entail	involve	v.	引起；关系到
	enthusiasm	intense interest	n.	热情；积极性
	enthusiastically	eagerly	ad.	热心地；热情地
	entire	whole	a.	全部的
	entire	whole	a.	整个的；全部的
2	entirely	solely	ad.	完全地；彻底地
2	entirely	totally	ad.	
	entitle	name	v.	称作；取名
	entity	object	n.	实体；存在
	entomb	trap	v.	埋葬；设陷阱
	entreat	urge	v.	恳求；请求
	envelope	outer covering	n.	封皮；包层
	epoch	period of history	n.	时代；纪元
	equal to	have the ability to handle	a.	胜任的；能应付的
	equally	uniformly	ad.	相同地；同等地
	equipment	apparatus	n.	设备；装置
	equivalent	the same as	n.	等量；相等物
	equivocally	ambiguously	ad.	暧昧地；摸棱两可地
	era	period of time	n.	时期
2	era	age	n.	时代；年代
2	era	period  	n.	
	eradicate	eliminate	v.	除去；消除
	eradicate	completely destroy	v.	根除；消灭
2	erect	straight	a.	竖起的；直观的；
2	erect	construct	v.	树立；建立
	erection	construction	v.	建立；竖立
	erratically	irregularly	ad.	无规律地；不稳定地
	erroneous	incorrect	a.	不正确的；错误的
	erroneous ideas	misconception	n.	误解；错误观念
	erroneously identified as	mistake	v.	误以为；误认为
	erupt	explode	v.	喷出；爆发
	escalate	rise	v.	逐步上升；逐步升级
2	especially	notably	ad.	特别地；主要地
2	especially	particularly	ad.	
	essence	basic nature	n.	基本
	essential	fundamental	a.	基本的
2	essential	necessary	a.	基本的；必要的
2	essential	vital	a.	
	essentially	fundamentally	ad.	基本上；必然地
	establish	create	v.	设立；创作
	establish	organize	v.	建立；创办
	estate	property	n.	房地产；财产
	esteem	respect	v.	尊敬；尊重
	estimated	judged	v.	鉴定
	ethereal	delicate	a.	雅致的；娇嫩的
	evacuate	remove	v.	撤离；疏散
	evidence	indicate	n.	迹象；预示
	evidence	reveal	v.	显示；证明
	evolve	develop	v.	发展；演化
2	exact	precise	a.	正确的；精确的
2	exact	precise	a.	
	exactly	precisely	ad.	精确地；确切地
	exaggeration	overstatement	n.	夸张；夸大
	exalt	glorify	v.	褒奖；赞美
	exalted	superior	a.	高贵的；崇高的
	examine	explore	v.	考察；探索
	example	instance	n.	实例；样本
	exasperating	irritating	a.	使人触怒的；激怒人的
	excavate	dig	v.	挖掘；开凿
	excavating	digging	v.	挖掘
	exceed	surpass	v.	超过；胜过
	exceedingly	very	ad.	非常地；极度地
2	excel  	superior	v.	
2	excel in	be outstanding in	v.	优于他人；胜于他人
	except for	apart from	prep.	除．．．以外
	excerpt	short selection	n.	节录；摘录
	excessive	extreme	a.	过分的；极度的
	exclude from	keep out of	v.	拒绝；排除
	exclusively	only	ad.	唯一地；全部地
	excursion	trip	n.	短途旅行；远足
	execute	create	v.	造成；制成；履行；执行
	execution	carrying out	n.	执行；履行
	exemplary	model	a.	模范的；典型的
	exercise	utilize	v.	行使，利用
	exert	cause	v.	引起；产生
	exhaustively	thoroughly	ad.	彻底地；完全地
	exhibit	show	v.	展览；展出
	exorbitant	expensive	a.	昂贵的
	expand	increase	v.	扩张；增加
	expeditiously	rapidly	ad.	迅速地；敏捷地　
	expendable	unprofitable	a.	没有用的
	expertly	masterfully	ad.	熟练地；老练地
2	explicitly	specifically	ad.	明晰地；明确地
2	explicitly	specifically	ad.	
	explore	investigate	v.	考察；探索
2	expose	subject to 	v.	使暴露；暴露于
2	expose	uncover	v.	使暴露；暴露于
	exposition	exhibition	n.	展览会；博览会
2	extend	stretch	v.	延长；扩展
2	extend	increase	v.	延长；扩展
	extend	improve	v.	延长；改善
	extensive	broad	a.	广泛的；广博的
	extensively	widely	ad.	广阔地；广泛地
	extol	praise	v.	赞美
	extolled	praised	v.	赞美
2	extra	surplus	a.	额外的；附加的
2	extra	additional	a.	
2	extract	remove	v.	提取；取得
2	extract	remove	v.	提取；取得
3	extract	descend	v.	提取；取得；拔出
3	extract	remove	v.	
	extract	remove	v.	根除，移除
3	extract from	remove from	v.	
	extraneous	irrelevant	a.	外来的；无关的
	extraordinary	supreme	a.	非凡的；极度的
2	extraordinary	remarkable	a.	特别的；非凡的
2	extraordinary	outstanding	a.	
2	extremely	exceptionally	ad.	极端地；极度地
2	extremely	intensely	ad.	
	extricate	remove	v.	救出；移出
	F			
	fabricate	make  	v.	制作；装配
	fabricating	constructing	v.	制作，构建
2	face	confront	v.	面对；面向
2	face	confront	v.	
	facet	aspect	n.	某一方面
	facsimile	reproduction	n.	摹写；复制品
	fact	actually	n.	实际上；事实上
	faction	side	n.	小派系
	factor	consideration	n.	要素；因素
	fade	lose color	v.	褪色；衰弱
	fail to	do not	v.	不足以；不能够
2	fairly	relatively	ad.	相对地；相当地
2	fairly	somewhat	ad.	
	faithful	loyal	a.	忠诚的；忠实的
	fake	imitation	a.	伪造的；冒充的
	fallacious	faulty	a.	谬误的；靠不住的
	famous	well-known	a.	著名的；出名的
	fanciful	imaginative	a.	想象的；怪诞的
	fanfare	spectacular display	n.	鼓吹；炫耀
	far	much	ad.	太；极；甚
	fare	primary sustenance	n.	主食
	far-reaching	extensive	a.	广泛的；深远的
	fashion	create	v.	造成，引起
	fashion	manner	n.	方式；样子
2	fasten	affix	v.	扎牢；钉牢
2	fasten	attach	v.	
	fatal	deadly	a.	致命的
	fault	crack	n.	缝隙；断层
	favor	prefer to	v.	偏袒；偏好
	favor	prefer	v.	喜爱
	favored	perferred	n.	喜爱
2	feasible	possible	a.	可行的；可能的
2	feasible	possible	a.	
	feat	achievement	n.	功绩；技艺
	fee	rate	n.	费用；费
	feeble	weak	a.	微弱的；无力的
	feed	put	v.	供给；供应
2	feed up	disgust	a.	厌食的   吃；食
2	feed up	eat	a.	吃；食
	feel	detect	v.	察觉；感觉
	feel	detect	v.	感觉；触觉
2	ferocious	fierce	a.	凶猛的；残忍的
2	ferocious	fierce	a.	
	fervor	zeal	n.	热情；热烈
	fictitious	mythical	a.	虚构的；想象的
	fidelity	faithfulness	n.	忠诚；忠贞
2	figure	shape	n.	图象；形象
2	figure out	solve	v.	演算；解决
	filament	strand	n.	细丝；长丝
	fill	congest	v.	充满；充塞
	filter	strain	v.	过滤；滤过
	finalize	break	v.	终结；中止
2	find	locate	v.	找到；发现
2	find	discover	v.	
	finding	scientific discovery		
	fine	tiny	a.	细小的
2	fine	thin	a.	纤细的；细小的
2	fine	small	a.	
	finely	minutely	ad.	精细的　
	finely	highly	ad.	优秀地；良好地
	fire	bake	v.	烧制；焙烤
	firm	hard	a.	结实的；坚硬的
2	firmly	solidly	ad.	坚定地；牢固地
2	firmly	securely	ad.	
	fit	conform to	v.	适合；适应
4	fix	repair	v.	安装；固定；决定；确定
4	fix	set	v.	
4	fix	determine	v.	
4	fix	set	v.	
	fixture	commonplace object	n.	固定设备；附属装置
2	flag	decline	v.	衰退；枯萎
2	flag	decline	v.	
	flamboyant	showy	a.	炫耀的；灿烂的
	flamed	burned	a.	燃烧的
	flattering	complimentary	a.	称赞的；奉承的
	flavoring	distinctive	a.	调味的
4	flaw	defect	n./v.	缺点，瑕疵；有缺陷；有裂缝
4	flaw	defect	n./v.	
4	flaw	defect	n./v.	
4	flaw	imperfect	n./v.	
	flee	run away from	v.	逃离；逃避
	flexible	pliant	a.	柔韧的；有弹性的
	float	drift along	v.	漂；浮
	flock	group	n.	鸟群；兽群
	flourished	thrived	n.	茂盛
2	flow	travel	v.	流动，涌出；
2	flow	circulation	n.	流通；发行
2	fluctuate	alternate	v.	起伏；波动
2	fluctuate	move up and down	v.	
	fluorescent	luminous	a.	发光的；荧光的
	flush from	drive out of	v.	被惊飞；被赶走
	flyer	pilot	n.	飞行员；飞行者
	fog	haze	n.	雾；烟雾
	foliage	leave	n.	叶子；叶簇
2	follow	obey	v.	听从；遵循
2	follow	abide by	v.	
	following	after	prep.	在．．．之后
	fool	deceive	v.	欺骗；愚弄
	foolish	ridiculous	a.	荒谬的；愚蠢的
	foolproof	completely safe	a.	不会有差错的；安全无比的
	forage	feed	v.	搜索；寻找食物
	forbid	mot allow	v.	禁止；不许
	forecast	predict	v.	预测；预报
	foreign-born	born outside the country	a.	出生在外国的
	foremost	leading	a.	首要的；主要的
	forerunner	predecessor	n.	先驱；先锋
2	forestall	prevent	v.	阻止；
2	forestall	prevent	v.	
	forever	eternally	ad.	永远地；无穷无尽地
	forfeit	lost	v.	失去；丧失
	form	develop	v.	形成；制作
	formative	developmental	a.	形成的；成型的
2	formerly	previously	ad.	从前；以前
2	formerly	previously	ad.	
	formidable	difficult	a.	艰难的
	forsake	abandon	v.	遗弃；抛弃
	forward-looking	progressive	a.	向前看的；有远见的
3	found	establish	v.	创办；建立
3	found	establish	v.	
3	found	establish	v.	
	foundation	basis	n.	基础；根据
	fowl	poultry	n.	禽；家禽
	fragment	piece	n.	碎片；破片
2	fragrance	scent	n.	香味；香气
2	fragrance	scent	n.	
	frail	weak	a.	虚弱的；脆弱的
	frame	pose	v.	构造；提出
2	framework	structure	n.	结构；框架
2	framework	skeleton	n.	
2	free	unhampered	a.	摆脱的；不受约束的
	freeing	releasing	n.	解除，释放
	freshly	recently	ad.	新近；最近
	frolic	run playfully	v.	嬉戏；闹着玩
2	from time to time	occasionally		间或地；偶尔地
2	from time to time	occasionally		间或地；偶尔地
	frost	ice	v.	冰冻；结霜
	frothy	foamy	a.	泡沫的；似泡沫的
	fruitful	productive	a.	富有成效的；多产的
	fruitfully	productively	ad.	富有成效地；多产地
	fruitlessly	in vain	ad.	无效地；徒劳地
	fully	thoroughly	ad.	完全地；彻底地
	fume	gas	n.	气体；烟雾
	functional	usable	a.	合用的
2	fund	money	n.	资金；基金
2	fund	a sum of money	n.	
	fundamental	basic	a.	基础的；基本的
2	furnish	supply	v.	提供；供应
2	furnish	provide	v.	
2	further	additional	a.	进一步的；深层的
2	further	advance	v.	促进；推动
	fusion	union	n.	熔合；联合
	future	coming	a.	未来的；今后的
	G 			
6	gain	profit		v.获得；赢利　n.利益；得益
6	gain	win		
6	gain	acquire		
6	gain	acquire		
6	gain	advantage		
6	gain	earn		
	gallant	courtly	a.	殷勤的；奉献的
	gambit	calculated risk	n.	策略；谋略
	gap	open	n.	缺口；缝隙
	gap	space	n.	缺口；间隙
	garment	clothes	n.	衣服；服装
	gas	vapor	n.	气体；气态
	gateway	point of entry	n.	通路；入口
3	gather	compile	v.	搜集；聚集
3	gather	collect	v.	
3	gather	collect	v.	
2	gauge	measure	v.	测量；评估
2	gauge	judge	v.	
	gay	bright	a.	明亮的；鲜艳的
	gelatinous	viscous	a.	黏结的；胶凝状的
2	gem	jewel	n.	宝石；珍宝
2	gem	precious stones	n.	
	gemstone	jewel	n.	宝石；珍宝
	general	usually	ad.	一般地；惯常地　
2	generally	usually	ad.	通常地；广义地
2	generally	broadly	ad.	
	generate	produce	v.	产生；发生
	genesis	origin	n.	起源；开始
	gentle	moderate	a.	平缓的；温和的
2	germinate	sprout	v.	发芽；开始生长
2	germinate	sprout	v.	
2	get along 	manage	v.	生活；过日子
2	get over	recover from	v.	痊愈；复原
2	get rid of 	discard	n.	除去；去掉
2	get rid of 	eliminate	n.	
	gifted	talented	a.	有天赋的；聪颖的
	gingerly	cautiously	ad.	小心地；谨慎地
3	give in 	yield to	v.	让步；屈服
3	give out	announce	v.	发表；公布
2	give sb. a free hand	let sb.use one's own ideas on	a.	给予某人自行处事权利
	give way to 	turn into	v.	让位；变成
3	given 	specified	a.	特定的；一定的
	glare	very harsh light	n.	刺目的强光
	gloomy	dismal	a.	阴郁的；忧闷的
	glowing	shining	a.	光亮的
	go awry	become faulty	ad.	出差错；有缺陷
	goal	objective	n.	目的；目标
	good name	reputation	n.	名声；名誉
2	goods	merchandise	n.	商品；货物
2	goods	commodity	n.	
	good-size	big	a.	大型的；大号的
2	gorgeous	beautiful	a.	美丽的；华丽的
2	gorgeous	very colorful	a.	
6	gradually	slowly	ad.	逐渐地；逐步地
6	gradually	little by little	ad.	
6	gradually	by degrees	ad.	
6	gradually	slowly	ad.	
6	gradually	by degrees	ad.	
6	gradually	slowly	ad.	
2	grandeur	magnificence	n.	宏伟；壮观
2	grandeur	magnificence	n.	
4	grant	gave	v.	颁发；授予
4	grant	award	v.	
4	grant	give  	v.	
4	grant to	give to	v.	
	graphic	vivid	a.	生动的；图文的
	graphic	vivid	a.	生动的
2	grasp	comprehension	n.	领会；掌握
2	grasp	understanding of	n.	
2	graze	feed	v.	以．．．为食；放牧
2	graze on	feed on	v.	
	greatest breakthrough	most significant advance	n.	进展；突破
2	gregarious	sociable	a.	群居的；合群的
2	gregarious	sociable	a.	
	grief	sorrow	n.	悲痛；不幸
	grossly	greatly	ad.	显著地；大大地
	grown-up	adult	n.	成人；大人
2	growth	development 	n.	增长；发展
2	growth	expansion	n.	
	grueling	exhausting	a.	筋皮力竭的；折磨人的
	grumbled	complained	v.	抱怨
	guard	protect	v.	保护；保卫
	gusto	enthusiasm	n.	热忱；兴趣
	H			
2	habitat	home	n.	栖息地；产地
2	habitat	environment	n.	
	habitually	customarily	ad.	习惯地；惯常地
3	hail	acclaim	v.	欢呼；招呼
3	hail	acclaim	v.	
3	hail	acclaim	v.	
	half-formed	incomplete	a.	不完整的；不完善的
	halfheartedly	apathetically	ad.	无兴趣地；不热情地
	hamper	hinder	v.	妨碍；阻碍
2	hand in	submit	v.	交出；传递
2	hand out	distribute	v.	分派；散发
	handicap	disable in some way	v.	阻碍；妨碍
	handle	perform	v.	处理；管理
	handpick	select	v.	挑选；精选
	handsome	good-looking	a.	美观的；漂亮的
	handy	convenient	a.	灵巧的；方便的
	haphazard	random	a.	杂乱的；任意的
	haphazardly	randomly	ad.	任意地；杂乱无章地
	harbor	port	n.	港口；港湾
	hard	firm	a.	坚硬的；牢固的
	hard to deal with	stubborn	a.	执拗的；固执的
2	hardly	scarcely	ad.	几乎不；简直不
2	hardly	barely	ad.	
	hardship	difficulty	n.	痛苦；苦难
	harm	do damage	v.	损害；损坏
2	harmful	detrimental	a.	有害的；危险的
2	harmful	dangerous	a.	
	harmless	innocuous	a.	无害的；无毒的
	harness	utilize	n.	利用；治理
3	harsh	severe	a.	严酷的；苛刻的
3	harsh	severe	a.	
3	harsh	severe	a.	
	harvest	gather	v.	收获；获得
	hasten	accelerate	v.	加速；促进
2	hatch	come forth from	v./n.	孵化；孵出
2	hatch	emerge from the egg	v./n.	
2	haul	pull	v.	拖运；运送
2	haul	transport	v.	
	hazard	danger 	n.	危险；冒险
	hazardous	dangerous	a.	危险的；冒险的
2	head	go 	v.	动身；出发
2	head	lead	v.	
	heading	category	n.	标题；题目
	headquarters	home office	n.	总部；总公司
	headstrong	stubborn	a.	倔强的；固执的
